row ID,Location,MinTemp,MaxTemp,MeanTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,AvgWindSpeed,Humidity9am,Humidity3pm,AvgHumidity,Pressure9am,Pressure3pm,AvgPressure,Cloud9am,Cloud3pm,AvgCloud,Temp9am,Temp3pm,RainToday
1,Sydney,21.6,24.5,23.1,6.6,2.4,0.1,NA,,ESE,ESE,17,2,9.5,88,86,87,1016.7,1015.6,1016.2,7,8,7.5,23.5,23,Yes
2,Sydney,18.6,26.3,22.5,6.2,5.2,5.2,NA,,W,S,15,15,15,75,80,77.5,999,1000.3,999.65,4,7,5.5,21.7,22.3,Yes
3,Sydney,18.4,22.8,20.6,14.4,7,3.3,NA,,S,S,24,30,27,87,70,78.5,1009.2,1011.7,1010.5,8,7,7.5,20.9,21,Yes
4,Sydney,16.9,24.3,20.6,3,3.2,8.7,NA,,SSW,SSE,15,19,17,81,51,66,1017.2,1016.5,1016.9,7,1,4,18.4,23.3,Yes
5,Sydney,16.7,24.1,20.4,0,6.2,8.8,NA,,WNW,SSE,11,26,18.5,77,52,64.5,1023,1022.6,1022.8,7,6,6.5,19.8,23.3,No
6,Sydney,19.5,24.8,22.2,0,7.6,3.2,NA,,SE,ESE,13,24,18.5,63,62,62.5,1024.7,1023.1,1023.9,7,7,7,21.8,23.4,No
7,Sydney,19,24.8,21.9,0,5.2,7.5,NA,,WNW,E,7,17,12,79,65,72,1018,1015.4,1016.7,7,7,7,20.8,23.4,No
8,Sydney,16.5,28.3,22.4,0,8.6,12,NA,,WNW,ESE,11,24,17.5,48,40,44,1007.9,1008,1007.95,0,0,0,21.2,26.1,No
9,Sydney,19.3,26.2,22.8,0,3.6,8.4,NA,,WSW,E,2,28,15,73,65,69,1018.3,1015.6,1017.0,1,6,3.5,23,25.8,No
10,Sydney,14.7,20.6,17.7,33,7,8.9,NA,,SW,S,24,28,26,65,51,58,1015.3,1015.6,1015.5,5,3,4,17.1,19.9,Yes
11,Sydney,12.8,22,17.4,0.2,6.2,11.3,NA,,W,SSE,19,31,25,55,46,50.5,1020.9,1020.6,1020.8,0,1,0.5,15.9,21.2,No
12,Sydney,14.2,23.4,18.8,5.4,6.4,7.3,NA,,W,SE,13,17,15,93,54,73.5,1026.2,1025.2,1025.7,7,2,4.5,15.1,22.4,Yes
13,Sydney,15.5,25.4,20.5,0,6.8,11.3,NA,,WNW,E,9,19,14,77,57,67,1020.5,1018.6,1019.6,0,2,1,18.7,23.8,No
14,Sydney,18.7,25.8,22.3,0,6,8.7,NA,,S,ESE,19,22,20.5,72,64,68,1024.8,1024.2,1024.5,6,3,4.5,22.6,24.1,No
15,Sydney,16.4,24.3,20.4,0,4.6,10.2,NA,,W,E,9,19,14,82,64,73,1025.5,1025.2,1025.4,1,2,1.5,19.7,23.8,No
16,Sydney,19.3,26.3,22.8,0,4.6,10.8,NA,,WNW,NE,9,24,16.5,76,50,63,1025.1,1022.5,1023.8,1,0,0.5,22.9,25.5,No
17,Sydney,19.5,25.7,22.6,0,6.4,10,NA,,WNW,NA,4,,2,82,60,71,1024.8,1022.8,1023.8,4,1,2.5,22,25.4,No
18,Sydney,19,26.7,22.85,0,8,9.7,NA,,N,ENE,11,20,15.5,73,58,65.5,1023.3,1020,1021.65,0,2,1,22.2,25.6,No
