row ID,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,row ID
Row1,Sydney,19.5,22.4,15.6,6.2,0,NA,,S,SSW,17,20,92,84,1017.6,1017.4,8,8,20.7,20.9,Yes,1
Row2,Sydney,19.5,25.6,6,3.4,2.7,NA,,W,E,9,13,83,73,1017.9,1016.4,7,7,22.4,24.8,Yes,1
Row3,Sydney,20.2,22.8,18.8,2.2,0,NA,,NNE,E,22,20,83,90,1014.2,1011.8,8,8,21.4,20.9,Yes,1
Row4,Sydney,19.7,25.7,77.4,,0,NA,,NNE,W,11,6,88,74,1008.3,1004.8,8,8,22.5,25.5,Yes,1
Row5,Sydney,20.2,27.2,1.6,2.6,8.6,NA,,W,ENE,9,22,69,62,1002.7,998.6,6,6,23.8,26,Yes,1
Row6,Sydney,17.2,22.3,27.6,5.8,2.1,NA,,S,SE,7,15,77,61,1008.3,1007.4,7,8,18.9,21.1,Yes,1
Row7,Sydney,16.4,20.8,12.6,4.8,3,NA,,SSW,W,19,9,92,91,1006.4,1007.6,7,7,17.1,16.5,Yes,1
Row8,Sydney,14.6,24.2,8.8,4.4,10.1,NA,,W,SSE,11,20,80,53,1014,1013.4,4,2,17.2,23.3,Yes,0
Row9,Sydney,16.4,23.9,0,6.4,8,NA,,WNW,E,9,26,78,53,1017.6,1015.3,7,8,18.9,23.7,No,0
Row10,Sydney,18.9,27.3,0,6.8,6.7,NA,,N,NE,7,24,68,67,1010.7,1007.5,7,7,22.9,24.7,No,1
Row11,Sydney,18.3,24.4,0,6.2,8.5,NA,,SW,SSE,19,22,80,56,1020.2,1018.9,7,3,19.5,23.8,No,0
Row12,Sydney,18.6,25.3,0,4.2,4.5,NA,,SSE,ENE,13,24,70,59,1021.7,1019.4,7,6,21.2,23.8,No,0
Row13,Sydney,18.3,26.4,0,4.6,11.1,NA,,W,E,13,22,80,60,1013.4,1010.8,3,1,21.3,25.2,No,0
Row14,Sydney,20.6,26.8,0,6.8,6.4,NA,,WNW,SE,4,15,86,62,1011.4,1009.7,7,7,22.1,24.9,No,0
Row15,Sydney,19.1,25.4,0.4,4.4,9.4,NA,,WNW,E,11,28,77,66,1009.2,1003.1,4,1,22.3,24.9,No,0
Row16,Sydney,20.5,26,0,6.6,12.2,NA,,WSW,ESE,20,24,38,45,1007.4,1007,1,1,22.5,24,No,0
